@relation skiing

@attribute temperature { hot, mild, cool }
@attribute windy { true, false }
@attribute outlook { sunny, overcast }
@attribute snow_cover { low, medium, high }
@attribute rainfall { sleet, rain, snow, none }
@attribute ski? { yes, no }

@data
hot, false, overcast, medium, none, no
hot, true, sunny, high, none, no
hot, true, sunny, high, sleet, no
mild, false, sunny, high, none, yes
mild, false, sunny, low, none, no
cool, true, sunny, medium, none, yes
cool, true, overcast, medium, snow, no
cool, false, overcast, medium, snow, yes
cool, false, sunny, medium, sleet, no
mild, true, overcast, low, rain, no
mild, true, overcast, medium, none, yes
mild, true, overcast, high, snow, yes
hot, false, sunny, high, none, yes
hot, true, overcast, medium, none, yes
